
============================================================
Тестирование BTCUSDT
============================================================
[BB-Donchian] СИГНАЛ SHORT по цене 85.99, стоп 87.63, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 82.30, стоп 80.66, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 84.06, стоп 85.77, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 86.50, стоп 83.79, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 83.42, стоп 80.80, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 84.54, стоп 81.92, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 84.52, стоп 83.12, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 86.00, стоп 84.60, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 86.13, стоп 84.79, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 86.59, стоп 87.50, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 85.22, стоп 84.14, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 83.22, стоп 81.51, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 83.02, стоп 80.78, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 87.29, стоп 88.70, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 96.44, стоп 99.55, риск 1.5%

=== РЕЗУЛЬТАТЫ БЭКТЕСТА ===
Период: 2025-11-21 – 2026-05-20 (180 дн.)
Начальный баланс: 1000.00 USDT
Конечный баланс: 1325.24 USDT
Общая доходность: 32.52%
Годовая доходность (CAGR): 77.01%
Всего сделок: 42
Прибыльные сделки: 24
Убыточные сделки: 18
Средний PnL на сделку: 7.74 USDT

Сохранено 42 сделок для SOLUSDT в backtest_SOLUSDT.csv

============================================================
Тестирование LINKUSDT
============================================================
[BB-Donchian] СИГНАЛ SHORT по цене 13.45, стоп 13.71, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 12.94, стоп 12.78, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 14.40, стоп 14.70, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 12.44, стоп 12.65, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 12.93, стоп 13.15, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 12.29, стоп 12.20, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 12.92, стоп 13.18, риск 2.0%
